"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Montgomery County, TX"	"48339"	33	7355	4.49
	"Nueces County, TX"	"48355"	30	4569	6.57
	"Tarrant County, TX"	"48439"	174	27280	6.38
	"Travis County, TX"	"48453"	55	15125	3.64
	"Webb County, TX"	"48479"	19	4693	4.05 (Unreliable)
	"Williamson County, TX"	"48491"	28	6650	4.21
	"Unidentified Counties, TX"	"48999"	551	96578	5.71
	"Davis County, UT"	"49011"	33	5302	6.22
	"Salt Lake County, UT"	"49035"	105	15998	6.56
	"Utah County, UT"	"49049"	59	11514	5.12
	"Unidentified Counties, UT"	"49999"	61	14395	4.24
	"Unidentified Counties, VT"	"50999"	35	5432	6.44
	"Chesterfield County, VA"	"51041"	26	3841	6.77
	"Fairfax County, VA"	"51059"	51	13841	3.68
	"Henrico County, VA"	"51087"	14	3911	3.58 (Unreliable)
	"Loudoun County, VA"	"51107"	14	5224	2.68 (Unreliable)
	"Prince William County, VA"	"51153"	25	6484	3.86
	"Virginia Beach city, VA"	"51810"	33	5618	5.87
	"Unidentified Counties, VA"	"51999"	397	60924	6.52
	"Clark County, WA"	"53011"	20	5482	3.65
	"King County, WA"	"53033"	99	24347	4.07
	"Kitsap County, WA"	"53035"	21	2994	7.01
	"Pierce County, WA"	"53053"	73	11478	6.36
	"Snohomish County, WA"	"53061"	39	9763	3.99
	"Spokane County, WA"	"53063"	33	5737	5.75
	"Thurston County, WA"	"53067"	20	3108	6.44
	"Unidentified Counties, WA"	"53999"	99	23176	4.27
	"Unidentified Counties, WV"	"54999"	127	18248	6.96
	"Dane County, WI"	"55025"	36	5753	6.26
	"Milwaukee County, WI"	"55079"	127	13032	9.75
	"Waukesha County, WI"	"55133"	19	3918	4.85 (Unreliable)
	"Unidentified Counties, WI"	"55999"	210	41395	5.07
	"Unidentified Counties, WY"	"56999"	35	6562	5.33
"Total"			21498	3791712	5.67
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2018 Expanded"
"Query Parameters:"
"Year of Death: 2018"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Feb 11, 2021 5:54:05 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program,"
"on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Feb 11, 2021 5:54:05 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Births values in those rows are included in the totals. Use Quick"
"Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Weight Factors."
"5. County-level data are shown only for counties with populations of 250,000 persons or more. Data for all counties with fewer"
"than 250,000 persons within a state are combined together under the label ""Unidentified Counties."""
"6. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore county (FIPS code 24005)."
"7. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis county (FIPS code 29189)."
"8. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"9. Kings county, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"10. New York county, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"11. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"12. Richmond county, New York (FIPS code 36085) represents Staten Island Borough, New York City."
