"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"pncall3","EQ_DHS","PUBLISHED","2007","EMR","","JOR","","","","WQ4","99.7","99.72000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","KEN","","","","WQ1","25.8","25.83000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","KEN","","","","WQ3","46.8","46.80000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","KEN","","","","WQ3","48.9","48.86000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","KEN","","","","WQ5","82.6","82.56000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","AFR","","LSO","","","","WQ3","62.0","62.02000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","AFR","","LSO","","","","WQ5","92.5","92.47000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","AFR","","LSO","","","","WQ5","91.2","91.18000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","LBR","","","","WQ2","32.8","32.80000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","LBR","","","","WQ4","67.0","66.98000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","LBR","","","","WQ4","64.4","64.44000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","MDG","","","","WQ1","28.2","28.15000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","MDG","","","","WQ3","47.0","47.00000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","MDG","","","","WQ3","47.3","47.27000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","MDG","","","","WQ5","74.7","74.71000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","MWI","","","","WQ1","72.6","72.55000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","MWI","","","","WQ3","76.2","76.17000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","MWI","","","","WQ5","93.5","93.48000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","MWI","","","","WQ5","93.0","93.04000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","SEAR","","MDV","","","","WQ4","99.5","99.48000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","SEAR","","MDV","","","","WQ1","94.1","94.11000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","MLI","","","","WQ5","85.3","85.28000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","MLI","","","","WQ2","34.6","34.62000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","NAM","","","","WQ2","78.2","78.24000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","NAM","","","","WQ4","95.6","95.63000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","SEAR","","NPL","","","","WQ5","61.4","61.39000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","SEAR","","NPL","","","","WQ2","11.6","11.60000","","",""
"pncall3","EQ_DHS","PUBLISHED","2011","SEAR","","NPL","","","","WQ4","61.5","61.48000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","NER","","","","WQ2","7.4","7.41000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","NER","","","","WQ4","14.8","14.76000","","",""
