Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Spain,Number of births,Total,2018,393.989,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Sri Lanka,Number of births,Total,2018,335.858,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
State of Palestine,Number of births,Total,2018,142.703,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Sudan,Number of births,Total,2018,1347.276,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Suriname,Number of births,Total,2018,10.676,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Sweden,Number of births,Total,2018,118.639,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Switzerland,Number of births,Total,2018,87.786,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Syrian Arab Republic,Number of births,Total,2018,426.351,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Tajikistan,Number of births,Total,2018,279.638,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Thailand,Number of births,Total,2018,717.66,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Timor-Leste,Number of births,Total,2018,37.388,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Togo,Number of births,Total,2018,261.509,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Tokelau,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Tonga,Number of births,Total,2018,2.52,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Trinidad and Tobago,Number of births,Total,2018,17.951,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Tunisia,Number of births,Total,2018,202.95,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Turkey,Number of births,Total,2018,1312.837,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Turkmenistan,Number of births,Total,2018,139.075,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Turks and Caicos Islands,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
