GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,WEALTHDECILE,Display Value,Numeric,Low,High,Comments
imr,EQ_DHS,PUBLISHED,2015,AFR,SEN,,,,,,WEALTHDECILE02,50.7 [41.8-61.4],50.68738,41.78119,61.37043,
imr,EQ_DHS,PUBLISHED,2016,AFR,SEN,,,,,,WEALTHDECILE06,36.0 [25.9-49.9],36.01596,25.91105,49.85993,
imr,EQ_DHS,PUBLISHED,2016,AFR,SEN,,,,,,WEALTHDECILE07,44.6 [27.0-72.9],44.64884,27.04235,72.86,
imr,EQ_DHS,PUBLISHED,2016,AFR,SEN,,,,,,WEALTHDECILE08,31.2 [17.3-55.3],31.15062,17.34547,55.32461,
imr,EQ_DHS,PUBLISHED,2016,AFR,SEN,,,,,,WEALTHDECILE09,24.6 [9.6-61.9],24.61301,9.55691,61.90618,
imr,EQ_DHS,PUBLISHED,2017,AFR,SEN,,,,,,WEALTHDECILE01,49.5 [41.2-59.5],49.54583,41.19086,59.49033,
imr,EQ_MICS,PUBLISHED,2005,EUR,SRB,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,SRB,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,SRB,,,,,,WEALTHDECILE07,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,SRB,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,EUR,SRB,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,EUR,SRB,,,,,,WEALTHDECILE07,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,EUR,SRB,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,EUR,SRB,,,,,,WEALTHDECILE09,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2014,EUR,SRB,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2014,EUR,SRB,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2014,EUR,SRB,,,,,,WEALTHDECILE02,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2014,EUR,SRB,,,,,,WEALTHDECILE03,No data,,,,Not available.
