"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","AND","RUR","65","64.89641","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","AND","TOTL","79","79.26566","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","AFR","DZA","TOTL","18","18.33943","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","AFR","DZA","URB","18","17.64366","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","AFR","DZA","RUR","20","19.54620","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","AFR","DZA","TOTL","18","18.46586","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","AFR","DZA","RUR","19","19.23574","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","EUR","ALB","TOTL","40","39.85545","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","ALB","URB","40","40.17054","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","ALB","RUR","39","39.39478","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","EUR","ALB","TOTL","40","39.83249","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","ALB","URB","40","40.08970","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","ALB","RUR","38","38.35633","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","ALB","URB","40","39.92673","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","ALB","RUR","37","36.58830","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","EUR","AND","RUR","86","86.45028","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","AND","TOTL","100","100.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","EUR","AND","RUR","100","100.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","EUR","AND","URB","100","100.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","AND","TOTL","100","100.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","EUR","AND","URB","100","100.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","EUR","ARM","URB","45","45.40582","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","ARM","TOTL","48","47.79869","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","EUR","ARM","TOTL","48","47.90306","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","ARM","URB","45","45.46841","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","EUR","ARM","URB","45","45.47301","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","ARM","TOTL","48","48.21355","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","EUR","ARM","TOTL","48","48.25018","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","EUR","ARM","URB","45","45.41206","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","EUR","ARM","URB","45","45.26220","","",""
