DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GRC: Greece,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.295,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GRD: Grenada,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.063,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GTM: Guatemala,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.87,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GIN: Guinea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.7,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNB: Guinea-Bissau,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.476,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GUY: Guyana,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.462,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HTI: Haiti,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.935,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VAT: Holy See,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HND: Honduras,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.46,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HUN: Hungary,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.491,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ISL: Iceland,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.767,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IND: India,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.222,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IDN: Indonesia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.311,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRN: Iran (Islamic Republic of),DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.137,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRQ: Iraq,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.672,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRL: Ireland,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.838,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ISR: Israel,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.036,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ITA: Italy,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.326,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JAM: Jamaica,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.979,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JPN: Japan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.371,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JOR: Jordan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.761,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KAZ: Kazakhstan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.748,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KEN: Kenya,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.492,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KIR: Kiribati,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.569,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KWT: Kuwait,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.082,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KGZ: Kyrgyzstan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.009,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LAO: Lao People's Democratic Republic,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.667,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LVA: Latvia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.711,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBN: Lebanon,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.087,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LSO: Lesotho,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.141,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBR: Liberia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.315,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBY: Libya,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.24,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LIE: Liechtenstein,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.676,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LUX: Luxembourg,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.444,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.077,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.209,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
